Bangubangu	<http://vocab.getty.edu/ulan/500202939>	<http://vocab.getty.edu/aat/300263400>	Babangu-bangu; Bahombo; Bango Bango; Bango-bango; Bangobango; Bangu Bangu; Bangu-bangu; Kibangobango; Kibangubangu; Mubangu-bangu; Wabangu Bangu; Wabangubangu
Banks Islands	<http://vocab.getty.edu/ulan/500202940>	<http://vocab.getty.edu/aat/300021919>	Banks Islander
Bannock	<http://vocab.getty.edu/ulan/500202941>	<http://vocab.getty.edu/aat/300017565>	
Banyun	<http://vocab.getty.edu/ulan/500202943>	<http://vocab.getty.edu/aat/300015912>	
Banziri	<http://vocab.getty.edu/ulan/500202944>	<http://vocab.getty.edu/aat/300263171>	Gbanzili; Gbanziri
Baptist	<http://vocab.getty.edu/ulan/500355078>	<http://vocab.getty.edu/aat/300153825>	
Barambo	<http://vocab.getty.edu/ulan/500202946>	<http://vocab.getty.edu/aat/300263102>	Abarambo; Agbarambo; Amiangba (Barambo); Amiangbwa (Barambo); Balambu; Barambu; Doriga; Duga
Barbadian	<http://vocab.getty.edu/ulan/500202947>	<http://vocab.getty.edu/aat/300385969>	
Bargu	<http://vocab.getty.edu/ulan/500202948>	<http://vocab.getty.edu/aat/300015872>	Baatonu; Baatonun; Barba (Bargu style and culture); Barga (Western Sudanese style); Bargo; Bariba (culture or style); Barina; Batonnun; Batonu; Berba; Bongu; Borgawa; Borgu; Burgu
Barreales	<http://vocab.getty.edu/ulan/500202949>	<http://vocab.getty.edu/aat/300017380>	
Basa (Nigerian)	<http://vocab.getty.edu/ulan/500202950>	<http://vocab.getty.edu/aat/300263016>	Abacha; Abatsa; Baasa; Bakoko; Basa-Kaduna; Basa-Komo; Basakomo; Basa Kuta; Basa-Nkomo; Basawa; Bassa (Nigerian); Bassa-Kaduna; Bassa-Komo; Bassa-Kuta; Bassa-Kwomu; Gwadara; Gwandara-Bassa; Kaduna
Basari (Gur)	<http://vocab.getty.edu/ulan/500202951>	<http://vocab.getty.edu/aat/300015874>	Bassari (Gur)
Basilian	<http://vocab.getty.edu/ulan/500355080>	<http://vocab.getty.edu/aat/300148037>	Order of Saint Basil; Order of St. Basil
Bassa (Cameroonian)	<http://vocab.getty.edu/ulan/500202954>	<http://vocab.getty.edu/aat/300016155>	Basa (Cameroonian); Betjek; Koko (Cameroonian)
Bassa (Liberian)	<http://vocab.getty.edu/ulan/500202955>	<http://vocab.getty.edu/aat/300260694>	Basa (Liberian); Basso; Gbasa
Bassari (Tenda)	<http://vocab.getty.edu/ulan/500202956>	<http://vocab.getty.edu/aat/300262574>	Aliane; Aliyan; Ayan; Ayaon; Basari (Tenda); Belian; Biyan; Onian; Ouo; Tenda Boeni (Bassari); Tenda-Dounka; Tenda Mayo; Tenda-Niokolo; Wo (culture or style)
Basua	<http://vocab.getty.edu/ulan/500202957>	<http://vocab.getty.edu/aat/300262941>	Sua
Batavian	<http://vocab.getty.edu/ulan/500202959>	<http://vocab.getty.edu/aat/300385971>	
Bedik	<http://vocab.getty.edu/ulan/500202963>	<http://vocab.getty.edu/aat/300262557>	
Bedouin	<http://vocab.getty.edu/ulan/500202964>	<http://vocab.getty.edu/aat/300016588>	
Beja	<http://vocab.getty.edu/ulan/500202965>	<http://vocab.getty.edu/aat/300016590>	Bedja
Bektashi	<http://vocab.getty.edu/ulan/500355081>	<http://vocab.getty.edu/aat/300264340>	Bektashī; Bektāshīya; Bektāshīyya; Bektāshīyah; Bektasi
Belgic	<http://vocab.getty.edu/ulan/500355487>	<http://vocab.getty.edu/aat/300386019>	Belgæ; Belgae; Ancient Belgian
Belizean	<http://vocab.getty.edu/ulan/500202966>	<http://vocab.getty.edu/aat/300387739>	
