<http://vocab.getty.edu/ulan/500203027>	Burkinabe (Burkina Fasian)
<http://vocab.getty.edu/ulan/500203028>	Burmese
<http://vocab.getty.edu/ulan/500203029>	Burundian
<http://vocab.getty.edu/ulan/500203030>	Butmir
<http://vocab.getty.edu/ulan/500203031>	Buyid
<http://vocab.getty.edu/ulan/500203032>	Bwa
<http://vocab.getty.edu/ulan/500203033>	Bwende
<http://vocab.getty.edu/ulan/500125223>	Byzantine
<http://vocab.getty.edu/ulan/500202914>	Bété
<http://vocab.getty.edu/ulan/500203034>	Caddo
<http://vocab.getty.edu/ulan/500294407>	Caduveo
<http://vocab.getty.edu/ulan/500203035>	Cahuilla
<http://vocab.getty.edu/ulan/500294442>	Caingang
<http://vocab.getty.edu/ulan/500203036>	Cajun
<http://vocab.getty.edu/ulan/500203037>	Cakchiquel
<http://vocab.getty.edu/ulan/500203038>	Calabrian
<http://vocab.getty.edu/ulan/500294424>	Calamari
<http://vocab.getty.edu/ulan/500203039>	California Yuman
<http://vocab.getty.edu/ulan/500203040>	Calima
<http://vocab.getty.edu/ulan/500355088>	Calvinist
<http://vocab.getty.edu/ulan/500355089>	Camaldolese
<http://vocab.getty.edu/ulan/500203041>	Cambodian
<http://vocab.getty.edu/ulan/500203042>	Cameroonian
<http://vocab.getty.edu/ulan/500294378>	Campa
<http://vocab.getty.edu/ulan/500203043>	Campanian
<http://vocab.getty.edu/ulan/500203044>	Campignian
<http://vocab.getty.edu/ulan/500203045>	Canaanite
<http://vocab.getty.edu/ulan/500125247>	Canadian
<http://vocab.getty.edu/ulan/500203046>	Candelaria
<http://vocab.getty.edu/ulan/500203047>	Candella
<http://vocab.getty.edu/ulan/500203048>	Cantonese
<http://vocab.getty.edu/ulan/500203049>	Cape Verdean
<http://vocab.getty.edu/ulan/500203050>	Cappadocian
<http://vocab.getty.edu/ulan/500355090>	Capuchin
<http://vocab.getty.edu/ulan/500294348>	Caquetío
<http://vocab.getty.edu/ulan/500294425>	Cara (South American)
<http://vocab.getty.edu/ulan/500294399>	Carajá
<http://vocab.getty.edu/ulan/500203051>	Carib
<http://vocab.getty.edu/ulan/500203052>	Caribbean
<http://vocab.getty.edu/ulan/500203053>	Caribou Inuit
<http://vocab.getty.edu/ulan/500203054>	Carinthian
<http://vocab.getty.edu/ulan/500294350>	Caripuna
<http://vocab.getty.edu/ulan/500355091>	Carmelite
<http://vocab.getty.edu/ulan/500203055>	Caroline Islands
<http://vocab.getty.edu/ulan/500203056>	Carolingian
<http://vocab.getty.edu/ulan/500203057>	Carrier (Native American)
<http://vocab.getty.edu/ulan/500355092>	Carthusian
<http://vocab.getty.edu/ulan/500294349>	Caríjona
<http://vocab.getty.edu/ulan/500203058>	Castilian
<http://vocab.getty.edu/ulan/500203059>	Catalan
<http://vocab.getty.edu/ulan/500203060>	Catawba
<http://vocab.getty.edu/ulan/500355093>	Cathar
<http://vocab.getty.edu/ulan/500294351>	Catukina
<http://vocab.getty.edu/ulan/500203061>	Caucasian
<http://vocab.getty.edu/ulan/500294352>	Cayapó
<http://vocab.getty.edu/ulan/500203062>	Cayuga
<http://vocab.getty.edu/ulan/500203063>	Cayuse
<http://vocab.getty.edu/ulan/500294409>	Cañar (Chaco)
<http://vocab.getty.edu/ulan/500294379>	Cañari (Central Andean)
<http://vocab.getty.edu/ulan/500203064>	Celtic
<http://vocab.getty.edu/ulan/500203065>	Central African
<http://vocab.getty.edu/ulan/500125249>	Central American
<http://vocab.getty.edu/ulan/500203066>	Central European
<http://vocab.getty.edu/ulan/500294443>	Central Ge (South American)
<http://vocab.getty.edu/ulan/500203067>	Central Javanese
<http://vocab.getty.edu/ulan/500203068>	Cerro Sechín
<http://vocab.getty.edu/ulan/500355094>	Ch'an Buddhist
<http://vocab.getty.edu/ulan/500355102>	Ch'üan-chen
<http://vocab.getty.edu/ulan/500203069>	Chadian
<http://vocab.getty.edu/ulan/500203070>	Chagga
<http://vocab.getty.edu/ulan/500294400>	Chaima
<http://vocab.getty.edu/ulan/500203071>	Chalcidian
<http://vocab.getty.edu/ulan/500203072>	Chalukyan
<http://vocab.getty.edu/ulan/500294408>	Chamacoco
<http://vocab.getty.edu/ulan/500203073>	Chamba (Nigerian)
<http://vocab.getty.edu/ulan/500203074>	Chamula
<http://vocab.getty.edu/ulan/500203075>	Chanapata
<http://vocab.getty.edu/ulan/500203076>	Chancay
<http://vocab.getty.edu/ulan/500294454>	Chaná
<http://vocab.getty.edu/ulan/500294410>	Chané
<http://vocab.getty.edu/ulan/500294455>	Charrúa
<http://vocab.getty.edu/ulan/500203077>	Chasseen
<http://vocab.getty.edu/ulan/500203078>	Chatino
<http://vocab.getty.edu/ulan/500203079>	Chehalis
<http://vocab.getty.edu/ulan/500203080>	Chemehuevi
<http://vocab.getty.edu/ulan/500355095>	Chen-Yen
<http://vocab.getty.edu/ulan/500203081>	Chen-la
<http://vocab.getty.edu/ulan/500203082>	Cherokee
<http://vocab.getty.edu/ulan/500203083>	Chewa
<http://vocab.getty.edu/ulan/500203084>	Cheyenne
<http://vocab.getty.edu/ulan/500203085>	Chiadma
<http://vocab.getty.edu/ulan/500294426>	Chibcha
<http://vocab.getty.edu/ulan/500203086>	Chicanel
<http://vocab.getty.edu/ulan/500203088>	Chichaoua
<http://vocab.getty.edu/ulan/500203089>	Chichimec
