y	c
http://dbpedia.org/resource/Modern_crime_fiction	2
http://dbpedia.org/resource/Renaixença	2
http://dbpedia.org/resource/California_Plein-Air	2
http://dbpedia.org/resource/Chhayavaad	2
http://dbpedia.org/resource/Psychedelia	2
http://dbpedia.org/resource/Yaoi	2
http://dbpedia.org/resource/Watercolor_painting	2
http://dbpedia.org/resource/Johannes_Liechtenauer	2
http://dbpedia.org/resource/Poète_maudit	2
http://dbpedia.org/resource/Pan-Turkism	2
http://dbpedia.org/resource/East_Village,_Manhattan	2
http://dbpedia.org/resource/New_Apocalyptics	2
http://dbpedia.org/resource/Young_Latvians	2
http://dbpedia.org/resource/Cleveland_School_(arts_community)	2
http://dbpedia.org/resource/Iroquois_realism	2
http://dbpedia.org/resource/Konkani_language	2
http://dbpedia.org/resource/Novel	2
http://dbpedia.org/resource/List_of_essayists	2
http://dbpedia.org/resource/Mysticism	2
http://dbpedia.org/resource/Anti-fascism	2
http://dbpedia.org/resource/War_poet	2
http://dbpedia.org/resource/New_British_Sculpture	2
http://dbpedia.org/resource/Purism	2
http://dbpedia.org/resource/Wu_School	2
http://dbpedia.org/resource/Culture	2
http://dbpedia.org/resource/Red-figure_pottery	2
http://dbpedia.org/resource/American_Renaissance	2
http://dbpedia.org/resource/Kitchen_sink_realism	2
http://dbpedia.org/resource/The_London_Group	2
http://dbpedia.org/resource/Unu	2
http://dbpedia.org/resource/American_frontier	2
http://dbpedia.org/resource/Yugoslavism	2
http://dbpedia.org/resource/Digital_painting	2
http://dbpedia.org/resource/Poetic_realism	2
http://dbpedia.org/resource/French_Renaissance	2
http://dbpedia.org/resource/Veduta	2
http://dbpedia.org/resource/New_Thought	2
http://dbpedia.org/resource/Persian_literature	2
http://dbpedia.org/resource/Angry_Penguins	2
http://dbpedia.org/resource/Weird_menace	2
http://dbpedia.org/resource/Communist_Party_of_Ukraine	2
http://dbpedia.org/resource/Royal_Academy_of_Arts	2
http://dbpedia.org/resource/Francophone_literature	2
http://dbpedia.org/resource/Four_Masters_of_the_Ming_dynasty	2
http://dbpedia.org/resource/Troubadour_style	2
http://dbpedia.org/resource/Experimental_literature	2
http://dbpedia.org/resource/Creacionismo	2
http://dbpedia.org/resource/Tonalist	2
http://dbpedia.org/resource/Plasticien	2
http://dbpedia.org/resource/Counter-Maniera	2
http://dbpedia.org/resource/Nuyorican_Poets_Café	2
http://dbpedia.org/resource/Internet_art	2
http://dbpedia.org/resource/Tarapita	2
http://dbpedia.org/resource/Cretan_literature	2
http://dbpedia.org/resource/Ramkrishna	2
http://dbpedia.org/resource/Optzecişti	2
http://dbpedia.org/resource/French_Academic	2
http://dbpedia.org/resource/Post-romanticism	2
http://dbpedia.org/resource/Canadian_literature	2
http://dbpedia.org/resource/Greek_literature	2
http://dbpedia.org/resource/German_Romanticism	2
http://dbpedia.org/resource/New_Woman	2
http://dbpedia.org/resource/Anime	2
http://dbpedia.org/resource/Art	2
http://dbpedia.org/resource/Metamodernism	2
http://dbpedia.org/resource/Májovci	2
http://dbpedia.org/resource/Islamic_calligraphy	2
http://dbpedia.org/resource/Light_art	2
http://dbpedia.org/resource/Transavantgarde	2
http://dbpedia.org/resource/Kannada_language	2
http://dbpedia.org/resource/Body_art	2
